"Date","Desktop","Mobile","Tablet"
2009-1,99.28,0.72,0
2009-2,99.11,0.89,0
2009-3,98.9,1.1,0
2009-4,98.79,1.21,0
2010-1,98.22,1.78,0
2010-2,97.64,2.36,0
2010-3,96.82,3.18,0
2010-4,96.02,3.98,0
2011-1,95.51,4.49,0
2011-2,94.18,5.82,0
2011-3,93.03,6.97,0
2011-4,92.83,7.17,0
2012-1,91.33,8.67,0
2012-2,89.97,10.03,0
2012-3,86.65,11.4,1.96
2012-4,83.87,12.87,3.27
2013-1,81.99,13.69,4.32
2013-2,81.41,14.18,4.41
2013-3,78.37,16.88,4.75
2013-4,75.17,19.98,4.86
2014-1,71.04,23.2,5.76
2014-2,68.71,25.21,6.09
2014-3,64.77,28.48,6.75
2014-4,62.15,31.31,6.53
2015-1,62.41,31.16,6.43
2015-2,61.45,32.85,5.7
2015-3,56.04,38.38,5.59
2015-4,56.42,38.43,5.15
2016-1,55.3,39.47,5.23
2016-2,52.73,42.16,5.11
2016-3,50.33,44.69,4.98
2016-4,46.86,48.33,4.81
2017-1,44.95,50.03,5.02
2017-2,43.02,52.21,4.77
2017-3,42.4,52.99,4.61
2017-4,44.57,51.12,4.31
2018-1,44.08,51.77,4.15
2018-2,44.15,51.89,3.96
2018-3,43.52,52.4,4.08
2018-4,48.97,47.19,3.84
2019-1,47.4,48.71,3.89
2019-2,47.25,48.91,3.83
2019-3,44.78,51.51,3.7
2019-4,44.58,52.6,2.82
2020-1,45.42,51.92,2.67
2020-2,45.56,51.53,2.91
2020-3,46.2,51.05,2.75
