Manufacturer,Alcatel,Apple,BBK,Ericsson,HTC,Huawei,Lenovo,Lenovo/Motorola,LG,Micromax,Microsoft,Motorola,NEC,Nokia,Oppo,Panasonic,RIM,Samsung,Siemens,Sony,Sony Ericsson,TCL,Vivo,Xiaomi,Yulong,ZTE
1992,0,0,0,0,0,0,0,0,0,0,0,4000000,2000000,3000000,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,12000000,6000000,9000000,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,60000000,0,18000000,0,0,0,0,0,0,0,0,0,0,0,0
1997,2631000,0,0,15914000,0,0,0,0,0,0,0,25328000,0,20593000,0,8627000,0,0,0,0,0,0,0,0,0,0
1998,6967000,0,0,23827000,0,0,0,0,0,0,0,32319000,0,37374000,0,13397000,0,4686000,0,0,0,0,0,0,0,0
1999,0,0,0,29785000,0,0,0,0,0,0,0,47818000,0,76335000,0,15581000,0,17687000,0,0,0,0,0,0,0,0
2000,0,0,0,41467000,0,0,0,0,0,0,0,60094000,0,126369000,0,0,0,20639000,26989000,0,0,0,0,0,0,0
2001,0,0,0,26956000,0,0,0,0,0,0,0,59097000,0,139672000,0,0,0,28234000,29753000,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,64640000,0,151422000,0,0,0,41684000,34618000,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,26213700,0,0,75177000,0,180672000,0,0,0,54475000,43754000,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,42276800,0,0,104124000,0,207231000,0,0,0,85238000,48456000,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,54924600,0,0,144920000,0,265615000,0,0,0,103754000,28591000,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,61986000,0,0,209251000,0,344916000,0,0,0,116480000,0,0,0,0,0,0,0,0
2007,0,2300000,0,0,0,0,0,0,78576300,0,0,164307000,0,435453000,0,0,0,154541000,0,0,0,0,0,0,0,0
2008,0,12000000,0,0,0,0,0,0,102555400,0,0,106590000,0,472315000,0,0,0,199182000,0,0,93414500,0,0,0,0,0
2009,0,24889000,0,0,0,0,0,0,122055300,0,0,58475200,0,440881600,0,0,0,235772000,0,0,54873400,0,0,0,0,0
2010,0,46598300,0,0,24688400,23814700,0,0,114154600,0,0,38553700,0,461318200,0,0,47451600,281065800,0,0,41819200,0,0,0,0,28768700
2011,0,89263200,0,0,43266900,40663400,0,0,86370900,0,0,40269000,0,422478300,0,0,51541900,313904200,0,0,32597500,0,0,0,0,56881800
2012,0,130133200,0,0,32121800,47288300,0,0,58015900,0,0,33916300,0,333938000,0,0,34210300,384631200,0,0,0,37176600,0,0,0,67344400
2013,0,150785900,0,0,0,53295100,45284700,0,69024500,0,0,0,0,250793100,0,0,0,444444200,0,37595700,0,49531300,0,0,32601400,59898800
2014,0,191426000,0,0,0,70499000,0,84029000,76096000,37094000,185660000,0,0,0,0,0,0,392546000,0,37791000,0,64026000,0,56529000,0,53910000
2015,0,225850600,0,0,0,104094700,72748200,0,0,0,0,0,0,0,0,0,0,320400000,0,0,0,0,0,65618600,0,0
2016,0,216064000,72408600,0,0,132824900,0,0,0,0,0,0,0,0,85299500,0,0,306446600,0,0,0,0,0,0,0,0
2017,0,214924400,0,0,0,150534300,0,0,0,0,0,0,0,0,112124000,0,0,321263300,0,0,0,0,99684800,0,0,0
2018,0,209048400,0,0,0,202901400,0,0,0,0,0,0,0,0,118837500,0,0,295043700,0,0,0,0,0,122387000,0,0
2019,0,207475100,0,0,0,240615500,0,0,0,0,0,0,0,0,118693200,0,0,296194000,0,0,0,0,0,126049200,0,0
